:START_ID(Transaction),:END_ID(Company),:TYPE
20483,TNET,FOR_COMPANY
20484,EXAS,FOR_COMPANY
20485,EXAS,FOR_COMPANY
20486,EXAS,FOR_COMPANY
20487,EXAS,FOR_COMPANY
20488,EXAS,FOR_COMPANY
20489,EXAS,FOR_COMPANY
20490,EXAS,FOR_COMPANY
20491,CLUB,FOR_COMPANY
20492,LEVY,FOR_COMPANY
20493,NANO,FOR_COMPANY
20494,VRNS,FOR_COMPANY
20495,VRNS,FOR_COMPANY
20496,TRMB,FOR_COMPANY
20497,GDEF,FOR_COMPANY
20498,CENT,FOR_COMPANY
20499,CENT,FOR_COMPANY
20500,SHLX,FOR_COMPANY
20501,SSNI,FOR_COMPANY
20502,SSNI,FOR_COMPANY
20503,SSNI,FOR_COMPANY
20504,SSNI,FOR_COMPANY
20505,SSNI,FOR_COMPANY
20506,SSNI,FOR_COMPANY
20507,PJC,FOR_COMPANY
20508,PJC,FOR_COMPANY
20509,SSNI,FOR_COMPANY
20510,SSNI,FOR_COMPANY
20511,PJC,FOR_COMPANY
20512,CDXS,FOR_COMPANY
20513,CHGG,FOR_COMPANY
20514,CHGG,FOR_COMPANY
20515,CHGG,FOR_COMPANY
20516,CHSP,FOR_COMPANY
20517,JWN,FOR_COMPANY
20518,DCO,FOR_COMPANY
20519,TDY,FOR_COMPANY
20520,TDY,FOR_COMPANY
20521,SLAB,FOR_COMPANY
20522,SCH,FOR_COMPANY
20523,MIRN,FOR_COMPANY
20524,AOSL,FOR_COMPANY
20525,ALJJ,FOR_COMPANY
20526,ENV,FOR_COMPANY
20527,ENV,FOR_COMPANY
20528,NEOG,FOR_COMPANY
20529,CVBF,FOR_COMPANY
20530,WPTE,FOR_COMPANY
20531,BAS,FOR_COMPANY
20532,BAS,FOR_COMPANY
20533,BAS,FOR_COMPANY
20534,RP,FOR_COMPANY
20535,RP,FOR_COMPANY
20536,RP,FOR_COMPANY
20537,RP,FOR_COMPANY
20538,RP,FOR_COMPANY
20539,RP,FOR_COMPANY
20540,ATVI,FOR_COMPANY
20541,ATVI,FOR_COMPANY
20542,RLYI,FOR_COMPANY
20543,RP,FOR_COMPANY
20544,RRGB,FOR_COMPANY
20545,RRGB,FOR_COMPANY
20546,SYNA,FOR_COMPANY
20547,INST,FOR_COMPANY
20548,SYNA,FOR_COMPANY
20549,SYNA,FOR_COMPANY
20550,MDP,FOR_COMPANY
20551,GAMPR,FOR_COMPANY
20552,GAMPR,FOR_COMPANY
20553,GAMPR,FOR_COMPANY
20554,NP,FOR_COMPANY
20555,FNC,FOR_COMPANY
20556,FON,FOR_COMPANY
20557,FON,FOR_COMPANY
20558,ARQL,FOR_COMPANY
20559,MNRTA,FOR_COMPANY
20560,SPH,FOR_COMPANY
20561,GGG,FOR_COMPANY
20562,GMZ,FOR_COMPANY
20563,RLI,FOR_COMPANY
20564,RLI,FOR_COMPANY
20565,BEAV,FOR_COMPANY
20566,SEIC,FOR_COMPANY
20567,LMNX,FOR_COMPANY
20568,CDI,FOR_COMPANY
20569,CTF,FOR_COMPANY
20570,WBC,FOR_COMPANY
20571,WBC,FOR_COMPANY
20572,SWFT,FOR_COMPANY
20573,BEAV,FOR_COMPANY
20574,KIRK,FOR_COMPANY
20575,SPH,FOR_COMPANY
20576,BEAV,FOR_COMPANY
20577,BEAV,FOR_COMPANY
20578,GPC,FOR_COMPANY
20579,BRKL,FOR_COMPANY
20580,GPC,FOR_COMPANY
20581,BEAV,FOR_COMPANY
20582,SPH,FOR_COMPANY
20583,BNCN,FOR_COMPANY
20584,NGL,FOR_COMPANY
20585,AFSI,FOR_COMPANY
20586,TMP,FOR_COMPANY
20587,NAN,FOR_COMPANY
20588,NAN,FOR_COMPANY
20589,NAN,FOR_COMPANY
20590,NGL,FOR_COMPANY
20591,OTL,FOR_COMPANY
20592,OTL,FOR_COMPANY
20593,OTL,FOR_COMPANY
20594,AMRS,FOR_COMPANY
20595,ROK,FOR_COMPANY
20596,CC,FOR_COMPANY
20597,FB,FOR_COMPANY
20598,FB,FOR_COMPANY
20599,FB,FOR_COMPANY
20600,FB,FOR_COMPANY
20601,FB,FOR_COMPANY
20602,CANN,FOR_COMPANY
20603,BPHX,FOR_COMPANY
20604,BPHX,FOR_COMPANY
20605,DGI,FOR_COMPANY
20606,DGI,FOR_COMPANY
20607,DGI,FOR_COMPANY
20608,CRM,FOR_COMPANY
20609,CRM,FOR_COMPANY
20610,CRM,FOR_COMPANY
20611,ASF,FOR_COMPANY
20612,ASF,FOR_COMPANY
20613,ASF,FOR_COMPANY
20614,ASF,FOR_COMPANY
20615,ASF,FOR_COMPANY
20616,ASF,FOR_COMPANY
20617,ASF,FOR_COMPANY
20618,ASF,FOR_COMPANY
20619,TRUE,FOR_COMPANY
20620,CCI,FOR_COMPANY
20621,CCI,FOR_COMPANY
20622,CRM,FOR_COMPANY
20623,CRM,FOR_COMPANY
20624,BPOP,FOR_COMPANY
20625,SHAK,FOR_COMPANY
20626,SHAK,FOR_COMPANY
20627,TNET,FOR_COMPANY
20628,TNET,FOR_COMPANY
20629,TNET,FOR_COMPANY
20630,TNET,FOR_COMPANY
20631,TNET,FOR_COMPANY
20632,TNET,FOR_COMPANY
20633,EXAS,FOR_COMPANY
20634,EXAS,FOR_COMPANY
20635,EXAS,FOR_COMPANY
20636,EXAS,FOR_COMPANY
20637,EXAS,FOR_COMPANY
20638,EXAS,FOR_COMPANY
20639,EXAS,FOR_COMPANY
20640,LOCK,FOR_COMPANY
20641,CLUB,FOR_COMPANY
20642,NANO,FOR_COMPANY
