:START_ID(Transaction),:END_ID(Company),:TYPE
573,MBFI,FOR_COMPANY
574,MBFI,FOR_COMPANY
575,ASGN,FOR_COMPANY
576,ATH,FOR_COMPANY
577,ATH,FOR_COMPANY
578,ATH,FOR_COMPANY
579,NICK,FOR_COMPANY
580,WEC,FOR_COMPANY
581,WEC,FOR_COMPANY
582,WEC,FOR_COMPANY
583,WEC,FOR_COMPANY
584,WEC,FOR_COMPANY
585,WEC,FOR_COMPANY
586,WEC,FOR_COMPANY
587,NYNY,FOR_COMPANY
588,PEN,FOR_COMPANY
589,CNDT,FOR_COMPANY
590,EXEL,FOR_COMPANY
591,EXEL,FOR_COMPANY
592,PLAB,FOR_COMPANY
593,RESN,FOR_COMPANY
594,AHS,FOR_COMPANY
595,AHS,FOR_COMPANY
596,TSLA,FOR_COMPANY
597,TSLA,FOR_COMPANY
598,HDP,FOR_COMPANY
599,CRM,FOR_COMPANY
600,AHS,FOR_COMPANY
601,WTM,FOR_COMPANY
602,WTM,FOR_COMPANY
603,WTM,FOR_COMPANY
604,SIGA,FOR_COMPANY
605,BABY,FOR_COMPANY
606,BABY,FOR_COMPANY
607,WDAY,FOR_COMPANY
608,BABY,FOR_COMPANY
609,BABY,FOR_COMPANY
610,BABY,FOR_COMPANY
611,PAHC,FOR_COMPANY
612,PAHC,FOR_COMPANY
613,PAHC,FOR_COMPANY
614,NMBL,FOR_COMPANY
615,ENV,FOR_COMPANY
616,ENV,FOR_COMPANY
617,ENV,FOR_COMPANY
618,ENV,FOR_COMPANY
619,NAN,FOR_COMPANY
620,NAN,FOR_COMPANY
621,NAN,FOR_COMPANY
622,ACM,FOR_COMPANY
623,NAN,FOR_COMPANY
624,YUMA,FOR_COMPANY
625,LBRDA,FOR_COMPANY
626,LBRDA,FOR_COMPANY
627,LBRDA,FOR_COMPANY
628,LBRDA,FOR_COMPANY
629,ELLI,FOR_COMPANY
630,TSCM,FOR_COMPANY
631,YELP,FOR_COMPANY
632,YELP,FOR_COMPANY
633,YELP,FOR_COMPANY
634,ROCK,FOR_COMPANY
635,ENSG,FOR_COMPANY
636,ENSG,FOR_COMPANY
637,ENSG,FOR_COMPANY
638,ENSG,FOR_COMPANY
639,ENSG,FOR_COMPANY
640,EPAY,FOR_COMPANY
641,ROCK,FOR_COMPANY
642,ED,FOR_COMPANY
643,ED,FOR_COMPANY
644,LMCA,FOR_COMPANY
645,LMCA,FOR_COMPANY
646,LMCA,FOR_COMPANY
647,LMCA,FOR_COMPANY
648,LMCA,FOR_COMPANY
649,LMCA,FOR_COMPANY
650,LMCA,FOR_COMPANY
651,LMCA,FOR_COMPANY
652,LMCA,FOR_COMPANY
653,LMCA,FOR_COMPANY
654,LMCA,FOR_COMPANY
655,OMED,FOR_COMPANY
656,PCAR,FOR_COMPANY
657,PNR,FOR_COMPANY
658,SCLN,FOR_COMPANY
659,SCLN,FOR_COMPANY
660,SCLN,FOR_COMPANY
661,NVRO,FOR_COMPANY
662,NVRO,FOR_COMPANY
663,NVRO,FOR_COMPANY
664,INTC,FOR_COMPANY
665,COO,FOR_COMPANY
666,CWT,FOR_COMPANY
667,CWT,FOR_COMPANY
668,CWT,FOR_COMPANY
669,DPDW,FOR_COMPANY
670,CWT,FOR_COMPANY
671,VCRA,FOR_COMPANY
672,DHX,FOR_COMPANY
673,DHX,FOR_COMPANY
674,DHX,FOR_COMPANY
675,DHX,FOR_COMPANY
676,DHX,FOR_COMPANY
677,DHX,FOR_COMPANY
678,CFMS,FOR_COMPANY
679,CIDI,FOR_COMPANY
680,CWT,FOR_COMPANY
681,TTEK,FOR_COMPANY
682,TTEK,FOR_COMPANY
683,CWT,FOR_COMPANY
684,NGS,FOR_COMPANY
685,NGS,FOR_COMPANY
686,NGS,FOR_COMPANY
687,CWT,FOR_COMPANY
688,CUBI,FOR_COMPANY
689,CWT,FOR_COMPANY
690,CWT,FOR_COMPANY
691,SJW,FOR_COMPANY
692,CIDI,FOR_COMPANY
693,NLNK,FOR_COMPANY
694,BSM,FOR_COMPANY
695,NLNK,FOR_COMPANY
696,UDR,FOR_COMPANY
697,UDR,FOR_COMPANY
698,UDR,FOR_COMPANY
699,FR,FOR_COMPANY
700,FR,FOR_COMPANY
701,BSM,FOR_COMPANY
702,NEOG,FOR_COMPANY
703,NWS,FOR_COMPANY
704,NWS,FOR_COMPANY
705,NWS,FOR_COMPANY
706,NWS,FOR_COMPANY
707,SCH,FOR_COMPANY
708,NWS,FOR_COMPANY
709,SCH,FOR_COMPANY
710,SCH,FOR_COMPANY
711,SCH,FOR_COMPANY
712,SCH,FOR_COMPANY
713,EIX,FOR_COMPANY
714,ATH,FOR_COMPANY
715,HAWK,FOR_COMPANY
716,ALOG,FOR_COMPANY
717,ATH,FOR_COMPANY
718,DWCH,FOR_COMPANY
719,DWCH,FOR_COMPANY
720,DWCH,FOR_COMPANY
721,FUN,FOR_COMPANY
722,FUN,FOR_COMPANY
723,FUN,FOR_COMPANY
724,ANCX,FOR_COMPANY
725,ANCX,FOR_COMPANY
726,STQN,FOR_COMPANY
727,PCG,FOR_COMPANY
728,ANCX,FOR_COMPANY
729,HHC,FOR_COMPANY
730,HHC,FOR_COMPANY
731,HHC,FOR_COMPANY
732,TCB,FOR_COMPANY
733,SPSC,FOR_COMPANY
734,SPSC,FOR_COMPANY
735,OZM,FOR_COMPANY
736,LQDT,FOR_COMPANY
737,LQDT,FOR_COMPANY
738,XRX,FOR_COMPANY
739,ZAYO,FOR_COMPANY
740,RMD,FOR_COMPANY
741,MASI,FOR_COMPANY
742,DDS,FOR_COMPANY
743,NKE,FOR_COMPANY
744,FLOW,FOR_COMPANY
745,CRUS,FOR_COMPANY
746,CHGO,FOR_COMPANY
747,VNDA,FOR_COMPANY
748,CRY,FOR_COMPANY
749,FLOW,FOR_COMPANY
750,AHS,FOR_COMPANY
751,WTM,FOR_COMPANY
752,WTM,FOR_COMPANY
753,WTM,FOR_COMPANY
754,CRM,FOR_COMPANY
755,BABY,FOR_COMPANY
756,BABY,FOR_COMPANY
757,BABY,FOR_COMPANY
758,SIGA,FOR_COMPANY
759,BABY,FOR_COMPANY
760,BABY,FOR_COMPANY
